table,Agemos,L,M,S
cdc_wfa_m,24.5,-0.216501213,12.74154396,0.108166006
cdc_wfa_m,120.5,-1.206688407,32.08799062,0.17892874
cdc_wfa_m,239.5,-0.919718461,70.55252127,0.161229617
cdc_wfa_f,24.5,-0.75220657,12.13455523,0.107740345
cdc_wfa_f,120.5,-0.846872805,33.06392318,0.195947008
cdc_wfa_f,239.5,-1.518754013,58.1987714,0.16652037
cdc_hfa_m,24.5,1.00720807,86.86160934,0.040395626
cdc_hfa_m,120.5,0.505564115,138.8234114,0.047610108
cdc_hfa_m,239.5,1.16863827,176.8414914,0.04036818
cdc_hfa_f,24.5,1.051272912,85.3973169,0.040859727
cdc_hfa_f,120.5,0.284748919,138.2111552,0.048704503
cdc_hfa_f,239.5,1.107132561,163.3354491,0.039637105
cdc_bmi_m,24.5,-1.982373595,16.54777487,0.080127429
cdc_bmi_m,120.5,-2.765648008,16.64613844,0.120112464
cdc_bmi_m,239.5,-1.841146139,22.99908062,0.134408381
cdc_bmi_f,24.5,-1.024496827,16.38804056,0.085025838
cdc_bmi_f,120.5,-2.171295888,16.86231366,0.137057004
cdc_bmi_f,239.5,-2.346962247,21.71189225,0.152716206
