doc_id,org,org_full,title,year,lang,topic,doc_type,url,notes
aap_adhd_cpg,AAP,American Academy of Pediatrics,"Clinical Practice Guideline for the Diagnosis, Evaluation, and Treatment of ADHD in Children and Adolescents",2019,en,desarrollo,guia_clinica,,
aap_obesity_cpg,AAP,American Academy of Pediatrics,Clinical Practice Guideline for the Evaluation and Treatment of Children and Adolescents With Obesity,2023,en,alimentacion,guia_clinica,,
aap_down_syndrome,AAP,American Academy of Pediatrics,Health Supervision for Children and Adolescents With Down Syndrome,2022,en,desarrollo,guia_clinica,,
aap_neonatal_compendium,AAP,American Academy of Pediatrics,Neonatal Care: A Compendium of AAP Clinical Practice Guidelines and Policies,,en,recien_nacido,guia_clinica,,
aemps_es_sueroral_hiposodico_prospecto,AEMPS,Agencia Española de Medicamentos y Productos Sanitarios — CIMA (prospecto autorizado),Prospecto: Sueroral Hiposódico polvo para solución oral (CIMA 59877),,es,digestivo,hoja_padres,https://cima.aemps.es/cima/pdfs/es/p/59877/59877_p.pdf,posología del suero oral por edad; documento regulatorio público
aep_cuidados_recien_nacido,AEP,"Asociación Española de Pediatría — Protocolos de Neonatología (Doménech, González, Rodríguez-Alarcón)",Cuidados generales del recién nacido sano,,es,recien_nacido,guia_clinica,,
aep_alimentacion_complementaria,AEP,Asociación Española de Pediatría (Comité de Lactancia Materna y Comité de Nutrición),Recomendaciones de la AEP sobre la alimentación complementaria,2018,es,alimentacion,guia_clinica,,
aepap_guia_dosificacion_3ed,AEPap,Asociación Española de Pediatría de Atención Primaria,Guía rápida de dosificación práctica en pediatría (3.ª edición),,es,medicamentos,guia_clinica,,fuente de la calculadora de dosis
cdc_en_chickenpox_about_index,CDC,Centers for Disease Control and Prevention (USA),About Chickenpox,,en,piel,hoja_padres,https://www.cdc.gov/chickenpox/about/index.html,licence: Public domain (U.S. Government work); fetched 2026-09-02
cdc_en_hand_foot_mouth_about_index,CDC,Centers for Disease Control and Prevention (USA),"About Hand, Foot, and Mouth Disease",,en,piel,hoja_padres,https://www.cdc.gov/hand-foot-mouth/about/index.html,licence: Public domain (U.S. Government work); fetched 2026-09-02
cdc_en_lice_about_index,CDC,Centers for Disease Control and Prevention (USA),About Lice,,en,piel,hoja_padres,https://www.cdc.gov/lice/about/index.html,licence: Public domain (U.S. Government work); fetched 2026-09-02
cdc_en_norovirus_about_index,CDC,Centers for Disease Control and Prevention (USA),About Norovirus,,en,digestivo,hoja_padres,https://www.cdc.gov/norovirus/about/index.html,licence: Public domain (U.S. Government work); fetched 2026-09-02
cdc_en_rsv_about_index,CDC,Centers for Disease Control and Prevention (USA),About RSV,,en,respiratorio,hoja_padres,https://www.cdc.gov/rsv/about/index.html,licence: Public domain (U.S. Government work); fetched 2026-09-02
